Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Fallout Anthology,PC,,,8.5,13,Various,,Miscellaneous
Samurai Warriors 4-II,PlayStation Vita,,,tbd,,Omega Force,T,Action
Samurai Warriors 4-II,PlayStation 4,73,26,7.2,38,Omega Force,T,Action
Samurai Warriors 4-II,PlayStation 3,,,tbd,,Omega Force,T,Action
Thomas and Friends: Steaming Around Sodor,3DS,,,tbd,,Avanquest Software,,Action
LEGO Dimensions,PlayStation 4,80,53,7.2,84,Traveller's Tales,E10+,Action Adventure
LEGO Dimensions,PlayStation 3,,,6.5,19,TT Games,E10+,Action Adventure
LEGO Dimensions,Wii U,62,5,6.4,35,Traveller's Tales,E10+,Action Adventure
LEGO Dimensions,Xbox One,80,12,7.1,33,Traveller's Tales,E10+,Action Adventure
LEGO Dimensions,Xbox 360,,,6.2,20,,,
Metal Gear Solid V: The Phantom Pain,Xbox One,95,10,7.5,1256,"Kojima Productions, Moby Dick Studio",M,Modern
Metal Gear Solid V: The Phantom Pain,PlayStation 4,93,86,8.2,5976,"Kojima Productions, Moby Dick Studio",M,Modern
Devil's Third,Wii U,43,54,6.7,312,Valhalla Game Studios,M,Action Adventure
Dishonored: Definitive Edition,PlayStation 4,80,32,7.7,355,Arkane Studios,M,Action Adventure
Dishonored: Definitive Edition,Xbox One,76,12,7.9,113,Arkane Studios,M,Action Adventure
One Piece: Pirate Warriors 3,PlayStation Vita,76,4,7.5,23,Omega Force,T,Action
One Piece: Pirate Warriors 3,PlayStation 4,74,34,7.6,169,Omega Force,T,Action
One Piece: Pirate Warriors 3,PlayStation 3,,,7.0,12,Omega Force,T,Action
Onechanbara Z2: Chaos,PlayStation 4,57,40,6.9,87,"Tamsoft, D3Publisher",M,Action Adventure
Senran Kagura 2: Deep Crimson,3DS,58,28,6.5,82,Tamsoft,M,Action
Resident Evil: Revelations 2,PlayStation Vita,65,12,8.2,110,Frima Studio,M,Horror
Zombi,PlayStation 4,71,29,5.9,218,"Ubisoft Montpellier, Straight Right",M,Action
Toy Soldiers: War Chest,Xbox One,60,14,7.7,56,Krome Studios,,Strategy
Toy Soldiers: War Chest,PlayStation 4,62,19,7.1,66,Krome Studios,,Strategy
Paranormal Pursuit: The Gifted One,PC,,,tbd,,Logris Games,,Adventure
Living Legends: Frozen Beauty,PC,,,tbd,,"Playrix Entertainment, 4 Friends Games",,Puzzle
Legend of Kay Anniversary,Wii U,67,9,6.9,37,"Neon Studios, Kaiko",E10+,Action Adventure
Legend of Kay Anniversary,PlayStation 4,62,22,5.9,16,"Neon Studios, Kaiko",E10+,Action Adventure
Deception IV: The Nightmare Princess,PlayStation 4,69,33,7.0,33,Koei Tecmo Games,M,Strategy
Legend of Kay Anniversary,PlayStation 4,62,22,5.9,16,"Neon Studios, Kaiko",E10+,Action Adventure
Legend of Kay Anniversary,Wii U,67,9,6.9,37,"Neon Studios, Kaiko",E10+,Action Adventure
LEGO Jurassic World,PlayStation 3,,,7.4,18,TT Games,E10+,Action Adventure
Assassin's Creed Rogue,PC,74,25,7.2,708,Ubisoft,M,Historic
Bladestorm: Nightmare,Xbox One,48,6,6.7,10,Omega Force,T,Action
Dying Light,Xbox One,74,26,7.9,507,Techland,M,Horror
Resident Evil: Revelations 2,Xbox One,75,22,7.9,170,Capcom,M,Horror
The Mighty Quest for Epic Loot,PC,64,9,5.6,95,Ubisoft Montreal,T,Action Adventure
Psychedelica of the Black Butterfly,PlayStation Vita,78,5,6.6,8,Otomate,T,Adventure
Dying Light,PlayStation 4,74,58,8.0,1717,Techland,M,Horror
Dynasty Warriors 8 Empires,Xbox One,58,10,6.8,16,Koei Tecmo Games,T,Action
Saints Row IV: Re-Elected,PlayStation 4,75,25,7.3,167,Volition Inc.,M,Action Adventure
Saints Row IV: Re-Elected,Xbox One,73,7,7.0,51,Volition Inc.,M,Action Adventure
Saints Row: Gat Out of Hell,PlayStation 3,,,6.4,17,Volition Inc.,M,Action Adventure
Saints Row: Gat Out of Hell,PlayStation 4,64,45,5.6,161,Volition Inc.,M,Action Adventure
Saints Row: Gat Out of Hell,Xbox One,65,16,6.1,37,Volition Inc.,M,Action Adventure
LEGO Marvel Super Heroes: Universe in Peril,3DS,56,5,5.2,19,TT Games,E10+,Action Adventure
Lara Croft and the Temple of Osiris,PlayStation 4,74,40,6.6,179,Nixxes Software,T,Action
Ultimate NES Remix,3DS,69,16,7.8,43,indieszero,E,Miscellaneous
Rugby Union Team Manager 2015,PC,,,tbd,,Alternative Software,,Sports
Terraria,Xbox One,84,5,7.9,50,"Engine Software, Pipeworks Software, Inc.",T,Action
IL-2 Sturmovik: Battle of Stalingrad,PC,74,7,6.1,277,1C Game Studios,T,WWI
