Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Evil Within 2,PlayStation 4,2017.0,Action Adventure,Bethesda Softworks  ,0.31,0.49,0.09,0.15,1.05,76.0,67.0,8.3,1394.0,Tango Gameworks,M
The Evil Within 2,Xbox One,2017.0,Action Adventure,Bethesda Softworks  ,0.25,0.1,0.0,0.04,0.39,82.0,24.0,9.0,747.0,Tango Gameworks,M
Sine Mora EX,Switch,2017.0,Action,THQ Nordic  ,0.0,0.04,0.0,0.0,0.04,70.0,11.0,7.2,27.0,Grasshopper Manufacture,M
Tiny Barbarian DX,Switch,2017.0,Action,Nicalis  ,0.05,0.0,0.0,0.01,0.06,77.0,11.0,7.7,21.0,"Nicalis, StarQuail",E10+
88 Heroes: 98 Heroes Edition,Switch,2017.0,Action,Rising Star Games  ,0.0,0.02,0.0,0.0,0.02,65.0,10.0,6.4,8.0,Bitmap Bureau,E10+
Gundam Versus,PlayStation 4,2017.0,Action,Namco Bandai Games  ,0.08,0.0,0.18,0.02,0.28,68.0,32.0,6.4,49.0,Bandai Namco Games,T
Pharaonic,PlayStation 4,2017.0,Role-Playing,Soedesco  ,0.01,0.0,0.0,0.0,0.02,,,6.0,6.0,Milkstone Studios,T
Pharaonic,Xbox One,2017.0,Role-Playing,Soedesco  ,0.02,0.0,0.0,0.0,0.02,71.0,4.0,7.6,7.0,Milkstone Studios,T
Labyrinth of Refrain: Coven of Dusk,PlayStation 4,2018.0,Role-Playing,NIS America  ,0.01,0.0,0.01,0.0,0.03,75.0,9.0,7.0,23.0,Nippon Ichi Software,M
Dishonored: Death of the Outsider,PlayStation 4,2017.0,Action Adventure,Bethesda Softworks  ,0.1,0.18,0.0,0.05,0.33,82.0,47.0,7.2,211.0,Arkane Studios,M
Dishonored: Death of the Outsider,Xbox One,2017.0,Action Adventure,Bethesda Softworks  ,0.07,0.06,0.0,0.01,0.14,84.0,16.0,6.3,66.0,Arkane Studios,M
Warriors All-Stars,PlayStation 4,2017.0,Action,Tecmo Koei  ,0.03,0.0,0.06,0.01,0.1,70.0,38.0,6.4,27.0,Omega Force,T
Azure Striker Gunvolt: Striker Pack,Switch,2017.0,Miscellaneous,Nighthawk Interactive  ,0.03,0.01,0.01,0.0,0.06,82.0,9.0,7.9,47.0,Inti Creates,T
Nights of Azure 2,PlayStation Vita,2017.0,Action,Tecmo Koei  ,0.0,0.0,0.02,0.0,0.02,,,,,Gust,
Resident Evil: Revelations,Xbox One,2017.0,Action Adventure,Capcom  ,0.02,0.0,0.0,0.0,0.02,78.0,6.0,8.2,63.0,Capcom,M
Resident Evil: Revelations,PlayStation 4,2017.0,Action Adventure,Capcom  ,0.06,0.06,0.04,0.02,0.18,70.0,32.0,7.8,143.0,Capcom,M
Monster Hunter Generations Ultimate,Switch,2018.0,Role-Playing,Capcom  ,0.27,0.14,0.27,0.04,0.72,80.0,52.0,8.6,161.0,Capcom,T
